postcode,locality,state,latitude,longitude,address_count
3000,MELBOURNE,VIC,-37.814200,144.963200,117844
3006,SOUTHBANK,VIC,-37.823100,144.964600,21030
3008,DOCKLANDS,VIC,-37.815700,144.946100,12040
3011,FOOTSCRAY,VIC,-37.799600,144.899800,14220
3121,RICHMOND,VIC,-37.819500,144.998900,18342
3141,SOUTH YARRA,VIC,-37.838700,144.992500,15230
3182,ST KILDA,VIC,-37.867700,144.981700,16110
3030,WERRIBEE,VIC,-37.899600,144.661800,28110
3033,KEILOR EAST,VIC,-37.735400,144.868900,7420
3350,BALLARAT CENTRAL,VIC,-37.561700,143.856500,4200
3355,WENDOUREE,VIC,-37.541200,143.834900,6100
3550,BENDIGO,VIC,-36.757900,144.278600,3900
3220,GEELONG,VIC,-38.147600,144.361700,5200
2000,SYDNEY,NSW,-33.867100,151.207000,61957
4000,BRISBANE CITY,QLD,-27.468200,153.023500,20500
5000,ADELAIDE,SA,-34.928500,138.600700,9800
6000,PERTH,WA,-31.953500,115.857000,11200
